nm,Zea80
350,12295.33803
350.4,11560.54813
350.8,11972.22557
351.2,11257.55999
351.6,11682.5066
352,11196.21037
352.4,11349.43662
352.8,12026.12786
353.2,11564.64789
353.6,11250.8307
354,11543.37512
354.4,11085.78358
354.8,11546.44902
355.2,12093.531
355.6,11235.7572
356,11513.59805
356.4,11774.18945
356.8,11829.53224
357.2,11953.80829
357.6,11060.46259
358,11341.47027
358.4,11972.59362
358.8,11585.34162
359.2,12104.37532
359.6,12252.67314
360,11338.4516
360.4,11753.4288
360.8,12003.16213
361.2,11580.21613
361.6,12570.88386
362,12176.11632
362.4,12521.74415
362.8,11975.8363
363.2,12236.68869
363.6,12636.31767
364,13246.61653
364.4,13127.5572
364.8,12768.476
365.2,12972.58836
365.6,13220.94591
366,13218.25368
366.4,13145.89475
366.8,13538.35361
367.2,13576.7723
367.6,13546.62151
368,13953.11136
368.4,14222.34394
368.8,14498.55168
369.2,14896.59365
369.6,14754.24434
370,14538.09727
370.4,15022.6191
370.8,15386.92861
371.2,15314.60433
371.6,15675.28289
372,15996.04863
372.4,16269.95848
372.8,16250.7536
373.2,16784.73047
373.6,16857.18796
374,17140.87783
374.4,17421.16258
374.8,17735.33061
375.2,18176.1707
375.6,18158.41626
376,18820.80009
376.4,18832.26187
376.8,19007.77669
377.2,19351.93438
377.6,19683.44036
378,19865.8151
378.4,20284.13179
378.8,20722.90963
379.2,20877.04334
379.6,21223.20161
380,21437.54478
380.4,21712.52705
380.8,21905.08208
381.2,22285.05205
381.6,22390.76588
382,23078.04778
382.4,23309.70192
382.8,23614.38341
383.2,23880.69163
383.6,24512.11442
384,24928.89887
384.4,25151.28714
384.8,25489.49494
385.2,26082.26899
385.6,26405.9745
386,26578.71576
386.4,26948.81095
386.8,27501.07487
387.2,27937.61388
387.6,28318.55691
388,28756.47691
388.4,29200.69385
388.8,29624.02201
389.2,30030.1039
389.6,30541.04442
390,31184.62748
390.4,31628.61474
390.8,32129.29879
391.2,32602.99933
391.6,33130.15136
392,33759.01957
392.4,34286.97374
392.8,34906.69819
393.2,35590.66364
393.6,36162.23223
394,36562.60034
394.4,37228.01137
394.8,37802.86678
395.2,38322.22476
395.6,38997.97587
396,39559.11311
396.4,40257.63611
396.8,40893.40116
397.2,41433.22672
397.6,42268.96286
398,42863.47607
398.4,43474.91932
398.8,43931.89204
399.2,44678.22004
399.6,45125.10342
400,45875.93943
400.4,46383.43456
400.8,46897.46912
401.2,47321.93147
401.6,48032.35593
402,48561.7326
402.4,49144.79472
402.8,49543.37222
403.2,50325.69333
403.6,50877.04967
404,51313.53985
404.4,51941.56395
404.8,52593.37679
405.2,52992.17451
405.6,53621.75144
406,54113.61222
406.4,54707.5217
406.8,55209.77996
407.2,55884.76878
407.6,56258.4885
408,56930.42998
408.4,57350.50213
408.8,58343.77067
409.2,58910.92464
409.6,59579.82134
410,60227.39993
410.4,60844.07534
410.8,61470.35295
411.2,62164.71847
411.6,62775.04337
412,63816.86714
412.4,64448.51318
412.8,65423.17248
413.2,66242.29815
413.6,67223.53244
414,68068.42042
414.4,69038.87891
414.8,69753.83319
415.2,70782.63807
415.6,71688.27364
416,72679.31707
416.4,73616.03408
416.8,74779.69835
417.2,75625.20808
417.6,76599.1646
418,77642.93965
418.4,78776.4789
418.8,79893.37428
419.2,80726.30341
419.6,81949.50231
420,82827.92133
420.4,84022.59381
420.8,84966.99042
421.2,85966.56701
421.6,86966.54938
422,87880.04585
422.4,88691.27552
422.8,89614.76883
423.2,90433.56974
423.6,91372.52512
424,92201.99515
424.4,93013.85343
424.8,93748.846
425.2,94571.01004
425.6,95254.6657
426,95957.31884
426.4,96463.35026
426.8,97213.52469
427.2,97708.55538
427.6,98338.68202
428,98916.40058
428.4,99258.11464
428.8,99857.07757
429.2,100275.2207
429.6,100667.7061
430,101083.7159
430.4,101530.6789
430.8,101791.0505
431.2,102288.4782
431.6,102720.402
432,102954.3991
432.4,103167.3561
432.8,103596.623
433.2,104070.315
433.6,104099.1794
434,104603.6924
434.4,105088.9537
434.8,105396.9139
435.2,105818.4716
435.6,106343.5785
436,106840.5382
436.4,107206.6002
436.8,107614.6976
437.2,108128.9863
437.6,108763.0712
438,109579.4555
438.4,110089.8707
438.8,110751.09
439.2,111377.0578
439.6,112557.5378
440,113110.8146
440.4,113960.0662
440.8,114754.9246
441.2,115820.8421
441.6,116580.6792
442,117686.7658
442.4,118493.0169
442.8,119686.9323
443.2,120727.9407
443.6,121827.6545
444,122882.5884
444.4,123991.1229
444.8,125192.8404
445.2,126233.7082
445.6,127537.9419
446,128492.3666
446.4,129583.7903
446.8,130795.0718
447.2,131900.9266
447.6,132867.6264
448,134070.4512
448.4,135071.6602
448.8,136023.8154
449.2,137013.2481
449.6,138001.4495
450,138865.9138
450.4,139605.1277
450.8,140499.3392
451.2,141151.506
451.6,141793.4869
452,142470.3713
452.4,142935.9886
452.8,143335.1116
453.2,143781.7811
453.6,144168.9182
454,144365.9427
454.4,144500.9075
454.8,144575.6698
455.2,144596.2844
455.6,144643.7611
456,144373.1942
456.4,144276.915
456.8,144063.6902
457.2,143683.9229
457.6,143256.5563
458,142923.8767
458.4,142384.151
458.8,141714.5563
459.2,141159.6778
459.6,140398.09
460,139833.0098
460.4,138879.8812
460.8,138293.438
461.2,137309.012
461.6,136597.5184
462,135667.2586
462.4,134826.4467
462.8,133868.6807
463.2,132963.2585
463.6,132018.7187
464,131242.0112
464.4,130282.4566
464.8,129519.7308
465.2,128582.8955
465.6,127911.092
466,127098.5679
466.4,126147.9274
466.8,125521.2042
467.2,124923.6758
467.6,124177.4772
468,123693.3008
468.4,123239.602
468.8,122850.9503
469.2,122270.3541
469.6,121987.7975
470,121696.7009
470.4,121545.8395
470.8,121332.8444
471.2,121066.8772
471.6,120964.0453
472,121077.968
472.4,121123.8658
472.8,120936.9376
473.2,121064.2541
473.6,121299.6857
474,121533.8747
474.4,121836.6357
474.8,122045.8821
475.2,122395.0984
475.6,122694.3228
476,123085.285
476.4,123451.8054
476.8,123876.4169
477.2,124398.47
477.6,124786.9662
478,125122.9897
478.4,125524.2379
478.8,125889.7535
479.2,126365.8759
479.6,126571.1417
480,126918.3553
480.4,127189.2135
480.8,127272.8097
481.2,127537.1264
481.6,127619.6244
482,127615.1562
482.4,127712.2508
482.8,127738.5761
483.2,127604.1259
483.6,127408.6491
484,127177.507
484.4,126754.3857
484.8,126378.4516
485.2,125934.014
485.6,125378.2623
486,124771.603
486.4,124041.4792
486.8,123257.6958
487.2,122465.2223
487.6,121560.1853
488,120462.2848
488.4,119380.2697
488.8,118161.6902
489.2,116957.2489
489.6,115561.5225
490,114245.9646
490.4,112832.4641
490.8,111095.8832
491.2,109667.6881
491.6,108149.457
492,106249.2405
492.4,104551.4768
492.8,102614.8751
493.2,100775.7721
493.6,98996.10252
494,96880.00843
494.4,95007.74586
494.8,92959.19548
495.2,91007.82456
495.6,88875.81164
496,86883.18676
496.4,84737.37298
496.8,82605.4736
497.2,80470.99479
497.6,78359.51843
498,76335.56319
498.4,74275.93408
498.8,72155.68376
499.2,70065.7222
499.6,67976.92051
500,65910.08566
500.4,63937.03115
500.8,61898.1344
501.2,59852.981
501.6,57955.94765
502,55995.62023
502.4,54066.92655
502.8,52117.13286
503.2,50456.90949
503.6,48610.21342
504,46726.04939
504.4,45075.14116
504.8,43464.0592
505.2,41766.39578
505.6,40318.96749
506,38721.75279
506.4,37247.99019
506.8,35748.92846
507.2,34322.11471
507.6,32906.83815
508,31573.36596
508.4,30299.68326
508.8,29113.3863
509.2,27954.33243
509.6,26821.07643
510,25608.18633
510.4,24677.45859
510.8,23574.04101
511.2,22436.19596
511.6,21438.25445
512,20558.93732
512.4,19584.60416
512.8,18760.02564
513.2,18125.51782
513.6,17230.98326
514,16512.97902
514.4,15760.93983
514.8,14864.8233
515.2,14463.61796
515.6,13728.23547
516,13173.05834
516.4,12518.81089
516.8,11830.55335
517.2,11445.65249
517.6,10978.49092
518,10475.41299
518.4,10085.92781
518.8,9557.907256
519.2,9190.281777
519.6,8788.278594
520,8419.663743
520.4,8120.435078
520.8,7786.164534
521.2,7407.620124
521.6,7280.997347
522,6846.810227
522.4,6684.780519
522.8,6386.228837
523.2,6155.537083
523.6,5872.153978
524,5631.171882
524.4,5495.376201
524.8,5382.698675
525.2,5057.645581
525.6,4743.074352
526,4615.636172
526.4,4591.223576
526.8,4434.359177
527.2,4139.001362
527.6,3947.598539
528,3986.235362
528.4,3664.460536
528.8,3535.102341
529.2,3397.38878
529.6,3351.364157
530,3118.598549
530.4,3042.651098
530.8,3010.554174
531.2,3063.60246
531.6,2884.844925
532,2719.408762
532.4,2569.830207
532.8,2519.606467
533.2,2457.1304
533.6,2443.787981
534,2260.916628
534.4,2359.53705
534.8,2168.428164
535.2,2234.542046
535.6,2062.078848
536,2040.804864
536.4,1974.06756
536.8,1903.283284
537.2,1870.014902
537.6,1696.417948
538,1755.987662
538.4,1691.629281
538.8,1583.909663
539.2,1527.422865
539.6,1598.29244
540,1395.106431
540.4,1452.165682
540.8,1341.85593
541.2,1306.30675
541.6,1289.82616
542,1247.180525
542.4,1345.767534
542.8,1234.076787
543.2,1263.509868
543.6,1244.792604
544,1202.365502
544.4,1046.347327
544.8,924.113833
545.2,1103.119064
545.6,923.8289123
546,1002.380681
546.4,1000.384823
546.8,958.1445158
547.2,938.554459
547.6,788.3430272
548,920.4769355
548.4,934.2443894
548.8,831.3297566
549.2,837.846915
549.6,739.0795146
550,755.9967305
550.4,692.0813799
550.8,820.6670604
551.2,721.8683808
551.6,720.47196
552,660.2108554
552.4,636.7527547
552.8,653.8061065
553.2,601.1563202
553.6,577.0607915
554,577.2785636
554.4,607.0474524
554.8,535.6901529
555.2,593.3458733
555.6,577.0298445
556,518.1033145
556.4,536.5915137
556.8,461.6672849
557.2,430.31245
557.6,495.2038326
558,469.1374955
558.4,440.7510377
558.8,425.9379652
559.2,447.4493332
559.6,359.15793
560,256.6473672
560.4,448.0771438
560.8,477.307688
561.2,462.8317147
561.6,320.5113763
562,410.9926159
562.4,295.9597001
562.8,423.7342476
563.2,215.4287476
563.6,138.6342392
564,262.2992441
564.4,325.8851238
564.8,290.0836116
565.2,264.1279389
565.6,294.8370243
566,310.7962708
566.4,252.7674171
566.8,179.0573772
567.2,271.0392542
567.6,129.9514382
568,198.0125722
568.4,260.7540388
568.8,96.11516848
569.2,332.4083852
569.6,188.2998362
570,322.5303475
570.4,232.5858213
570.8,275.2673618
571.2,329.7027843
571.6,71.15604814
572,251.3795837
572.4,280.6919682
572.8,179.2850424
573.2,175.3998206
573.6,231.2426722
574,206.2937504
574.4,160.214356
574.8,187.4853688
575.2,234.7074686
575.6,121.1845669
576,129.3414318
576.4,212.3671529
576.8,226.6228768
577.2,244.2222305
577.6,151.8582963
578,124.5282301
578.4,189.1120907
578.8,151.3578723
579.2,301.8425206
579.6,137.0137601
580,115.2794964
580.4,138.4059384
580.8,120.3963425
581.2,89.24973141
581.6,97.11078863
582,196.3717501
582.4,164.3585633
582.8,212.2415344
583.2,102.5112605
583.6,90.70164679
584,116.7819958
584.4,227.0420727
584.8,74.39053388
585.2,170.1430572
585.6,153.1090084
586,33.9225978
586.4,135.8621303
586.8,81.72529448
587.2,94.75530249
587.6,88.14310159
588,188.6343799
588.4,187.2651522
588.8,-3.407770893
589.2,14.9167277
589.6,53.58274264
590,135.3487785
590.4,30.76893463
590.8,75.88114328
591.2,81.2492127
591.6,69.00424587
592,82.89783631
592.4,146.5679082
592.8,57.28593807
593.2,56.63763312
593.6,143.7207848
594,47.39957132
594.4,113.1165491
594.8,71.22642655
595.2,83.51845931
595.6,125.4647339
596,90.59490942
596.4,-34.22589653
596.8,64.9617706
597.2,45.22788771
597.6,107.5561551
598,-0.437705129
598.4,202.7690338
598.8,50.56112991
599.2,9.056752609
599.6,98.78064562
600,0
600.4,-52.10177625
600.8,36.8905968
601.2,51.66815265
601.6,132.358259
602,-47.02130523
602.4,127.9312674
602.8,-8.324172064
603.2,42.61206126
603.6,65.25569668
604,-2.584651852
604.4,194.4588351
604.8,36.03500513
605.2,101.7705798
605.6,-14.85314628
606,-57.21172803
606.4,80.03698199
606.8,133.0651941
607.2,154.4413386
607.6,-113.1244577
608,-36.57595216
608.4,-3.271576396
608.8,-95.59416635
609.2,83.76153935
609.6,-18.52184784
610,66.69192828
610.4,-32.43892017
610.8,45.98592021
611.2,88.08518968
611.6,25.38451031
612,7.688712714
612.4,57.81329387
612.8,-97.53198752
613.2,-55.23862494
613.6,19.69033049
614,85.15237101
614.4,3.967173776
614.8,16.70739586
615.2,-40.62628394
615.6,2.527705463
616,-2.24103471
616.4,15.54805328
616.8,57.71935582
617.2,-3.190057011
617.6,-121.4732337
618,-73.00051749
618.4,-130.3623357
618.8,-19.13642457
619.2,-24.90747715
619.6,-102.3192066
620,17.63829387
620.4,-15.98668476
620.8,-50.35870773
621.2,-20.98458403
621.6,-57.593953
622,-28.64088981
622.4,-65.92151808
622.8,-115.6257759
623.2,-78.81193131
623.6,-13.57507986
624,-164.5684499
624.4,-171.4360413
624.8,-107.5701447
625.2,-80.3712478
625.6,-154.4071742
626,-178.5044654
626.4,-113.9603532
626.8,-203.3754699
627.2,-98.27446077
627.6,-193.6735899
628,-114.9598095
628.4,-135.1875799
628.8,-85.03205954
629.2,-117.8041211
629.6,-66.12748584
630,-180.7737497
630.4,-133.3550262
630.8,-237.4778636
631.2,-173.7790883
631.6,-124.5895588
632,-283.3135087
632.4,-129.737169
632.8,-125.5471222
633.2,-146.2825449
633.6,-189.8915978
634,-216.2135366
634.4,-144.3465191
634.8,-141.4469423
635.2,-246.0650352
635.6,-158.7032612
636,-150.5544687
636.4,-202.5714788
636.8,-198.6545666
637.2,-145.9550729
637.6,-291.1309611
638,-182.060141
638.4,-203.2533172
638.8,-318.1671938
639.2,-310.1820804
639.6,-177.0639407
640,-168.3732722
640.4,-240.4753439
640.8,-189.7595416
641.2,-226.1902546
641.6,-189.4333625
642,-198.240624
642.4,-202.3051304
642.8,-327.768492
643.2,-170.5144478
643.6,-325.8891165
644,-266.2562809
644.4,-249.6471539
644.8,-202.2436887
645.2,-350.1223362
645.6,-270.1237828
646,-230.0178194
646.4,-253.2164078
646.8,-269.2431763
647.2,-303.865537
647.6,-436.5939409
648,-318.6279181
648.4,-332.5146769
648.8,-241.9659281
649.2,-328.685535
649.6,-249.0098352
650,-212.5415789
650.4,-320.3968926
650.8,-254.0324659
651.2,-291.5694123
651.6,-303.4271743
652,-257.3717684
652.4,-327.4325646
652.8,-290.9285857
653.2,-285.2127467
653.6,-395.3754241
654,-376.7011688
654.4,-411.1956282
654.8,-362.6679295
655.2,-273.0036015
655.6,-257.7354945
656,-450.728513
656.4,-384.3282251
656.8,-362.1543624
657.2,-272.8873064
657.6,-387.273596
658,-460.6793837
658.4,-333.2570499
658.8,-196.2564433
659.2,-194.3891349
659.6,-311.1563395
660,-292.1439696
660.4,-167.8547386
660.8,-297.5095111
661.2,-356.4542675
661.6,-540.8264355
662,-217.6332587
662.4,-267.1583619
662.8,-344.9220476
663.2,-244.3499316
663.6,-459.314267
664,-317.324165
664.4,-364.4435075
664.8,-454.0454982
665.2,-209.6028873
665.6,-351.3100476
666,-257.6749677
666.4,-327.1246669
666.8,-442.0927264
667.2,-298.4116084
667.6,-318.7746432
668,-149.6810245
668.4,-294.0636275
668.8,-238.2666627
669.2,-181.3350242
669.6,-125.2140247
670,-245.2486408
670.4,-250.7423154
670.8,-280.6324633
671.2,-404.0829094
671.6,-140.1100092
672,-329.800853
672.4,-111.2595973
672.8,-210.9033717
673.2,-333.3499618
673.6,-214.9175023
674,-204.7719626
674.4,-163.479132
674.8,-321.0120145
675.2,-258.1975124
675.6,-156.0955856
676,-115.7752328
676.4,-285.4250455
676.8,-243.3100116
677.2,-132.7043668
677.6,-174.4579867
678,-44.03778099
678.4,-46.53740271
678.8,-187.8243768
679.2,39.21677401
679.6,-64.10229164
680,-26.54780884
680.4,9.621786468
680.8,46.27603226
681.2,20.22710478
681.6,-96.09641185
682,-20.94100261
682.4,-97.6714745
682.8,-1.394870821
683.2,-117.0098149
683.6,135.1687697
684,-140.3609515
684.4,-51.69162896
684.8,93.36945937
685.2,60.23502568
685.6,-45.30897117
686,151.8178744
686.4,90.29128326
686.8,117.0225863
687.2,232.0468057
687.6,163.9948172
688,346.0338589
688.4,160.6073374
688.8,96.93022129
689.2,203.7966835
689.6,179.1662009
690,359.8661679
690.4,48.88181374
690.8,250.2289073
691.2,279.7340899
691.6,167.0851788
692,85.28297938
692.4,271.6609967
692.8,194.8841864
693.2,399.6866312
693.6,251.9331704
694,295.2217835
694.4,178.9302973
694.8,313.4956984
695.2,211.4770136
695.6,-5.515343046
696,309.8267098
696.4,317.9373126
696.8,296.1799612
697.2,188.3251497
697.6,29.98903238
698,164.4768992
698.4,92.71232234
698.8,10.71304088
699.2,146.1443204
699.6,200.1065291
700,171.1901829
700.4,107.5390741
700.8,220.3931752
701.2,241.9023036
701.6,323.1092355
702,301.5808751
702.4,79.36238332
702.8,189.1678215
703.2,205.946018
703.6,216.5742744
704,293.9979499
704.4,211.921856
704.8,253.7334505
705.2,92.03999435
705.6,-57.28955837
706,175.3921087
706.4,122.6227485
706.8,121.2415155
707.2,51.77121702
707.6,191.9861158
708,22.60763748
708.4,246.2704419
708.8,119.4341238
709.2,236.6236012
709.6,15.77168593
710,-3.775941309
710.4,12.64893393
710.8,144.2630129
711.2,160.3001135
711.6,201.3991583
712,121.3893508
712.4,87.81230674
712.8,75.83759901
713.2,157.3584265
713.6,149.8593902
714,260.2892004
714.4,48.9153915
714.8,177.2877068
715.2,238.3098095
715.6,26.82430947
716,-33.07534803
716.4,74.12966556
716.8,-78.26015046
717.2,-56.21792047
717.6,103.7256943
718,51.08308399
718.4,-8.208571731
718.8,-85.47916685
719.2,-157.127698
719.6,48.92438862
720,-176.1967281
720.4,-8.068016661
720.8,37.72051831
721.2,-120.6898461
721.6,-144.5857033
722,-139.9165456
722.4,-87.25435736
722.8,5.938117861
723.2,-62.45013949
723.6,-148.5769797
724,-60.2494732
724.4,-122.8883778
724.8,-255.701862
725.2,-106.8756934
725.6,-206.2887972
726,-181.5094547
726.4,-201.484711
726.8,-305.7803377
727.2,-411.5863631
727.6,-206.5673141
728,-268.5742403
728.4,-323.4036809
728.8,-283.7492395
729.2,-447.2808074
729.6,-399.6052314
730,-443.6027163
730.4,-439.1731378
730.8,-356.0152281
731.2,-457.4554694
731.6,-396.9902211
732,-501.4157112
732.4,-361.64158
732.8,-382.8577152
733.2,-508.1663636
733.6,-430.5619957
734,-395.6940863
734.4,-539.9072518
734.8,-531.5167774
735.2,-533.0203136
735.6,-470.4658094
736,-365.7224248
736.4,-482.7922857
736.8,-589.1039181
737.2,-738.0659139
737.6,-687.3502919
738,-396.0017478
738.4,-657.6991182
738.8,-731.6490157
739.2,-647.3753626
739.6,-572.8264418
740,-719.6498898
740.4,-703.7953146
740.8,-785.9754426
741.2,-618.6616942
741.6,-644.9566033
742,-670.7587503
742.4,-859.3336567
742.8,-814.6497334
743.2,-976.0182333
743.6,-1118.249222
744,-1003.733894
744.4,-1027.299561
744.8,-1070.437538
745.2,-1202.426182
745.6,-994.6580014
746,-1378.21441
746.4,-1140.213796
746.8,-1232.218972
747.2,-1238.254048
747.6,-1081.459155
748,-1121.06933
748.4,-1298.49732
748.8,-1270.067674
749.2,-1386.681348
749.6,-1420.020954
750,-1102.97046
